"","번호","계정이름","작성일","내용"
"2788",2788,"shore0987","11/23/2012","연평도 포격도발 2년 흘렀지만 종북좌파들이 촛불 추모하는 것 본적이 없다. 천안함,제2연평해전도 마찬가지다. 북한과 중국의 만행에는 침묵하고 친북반미 촛불만을 들었던 진보를 자처한 종북좌파들을 처단해야한다"
"2789",2789,"shore0987","11/23/2012","대한민국에는  ◆애국가 부정하는 종북국개의원 ◆천안함 폭침에 연평도 포격 당해도 북한을 주적이 아니라 하는 정당 ◆ 노무현의 NLL 양보 발언이 사실이라면 박수쳐야 한다는 종북당 이 존재한다, 어쩌다 이런 정당과 국개의원이 있는지 알수가 없구나"
"2790",2790,"shore0987","11/23/2012","좌빨들의 기본전략이 무었인가?? 1. 여론조작이며 2. 양 진영사이에 끝없는 이간질이며, 3. 허위사실 유포이다, 이것이 좌빨 종북이들의 전형적인 행동패턴이다, 여론조작은 이미 나꼼수에서 검증된바 있다, 작심한 4명만 있으면 대한민국을 작살낼수 있었다"
"2791",2791,"shore0987","11/23/2012","종북이들에게 딱 한마디 하마  "" 낯가죽이 두꺼우면 부끄러운 줄을 모른다!"" 종북이들만큼 낯가죽 두꺼운 놈 들도 없을것이다"
"2792",2792,"shore0987","11/23/2012","오늘 연평도 포격전 2주년을 맞아 전 부대에서 연평도 포격전 대비 훈련을 했다는 뉴스 입니다, 언제 터질지 모르는 제2의 연평도 포격전에 항상 대비 해야하고 도발시에는 단호히 대처하여 평양까지 날려버려야 한다"
"2793",2793,"taesan4","11/23/2012","""제주 해군기지가 전쟁의 불씨가 될 수 있 다""는 이정희의 해괴한 논리에 넘어갈 대한민국 국민이 과연 몇명이나 될까? 그런데 그런 얘기를 하필이면 북한이 연평도 포격도발한 오늘 하냐? 꼭 국민들 가슴에 염장 지를려고 작정한 사람같애!"
"2794",2794,"taesan4","11/23/2012","연평도 도발 2년이 흘렀지만 북한은 전혀 변하지 않았다. 오히려 다양한 형태의 도발 위험이 증가했다. 북한은 노동신문을 통해 “제2의 연평도 불바다” 를 위협했다. NLL 침범도 계속하고 있다. 도대체 뭘믿고 저들이 저러나? 바로 종북좌파들 아닌가?"
"2795",2795,"taesan4","11/23/2012","연평도는 서북 5개도서 최북단에 위치한 백령도 보다도 관광 인프라 등 모든 면에서 거의 1/10 정도로 열악하다...연평도를 안보 관광지로 만들기 위한 다각적 노력과 정부의 지원이 절실하다고 생각한다..."
"2796",2796,"tjdnfdp","11/23/2012","종북좌파세력들의 문화투쟁이론은 공산주의 문예원리인 사회주의적 사실주의(Socialistic Realism)와 북한의 문예이론인 주체의 문예리론 및 종자(種子)론을 문예투쟁의 이론으로 수용하고 있습니다."
"2797",2797,"tjdnfdp","11/23/2012","단 한사람을 위해 수백만 주민이 굶어죽는 북한 체제를 옹호하는 종북세력들은 대한민국에 살 권리도 없는 사람들입니다. 이들은 북한 가서 살라고 하면 살지도 않으려면서 이 땅에서 권력을 누리며 살고 있습니다."
"2798",2798,"tjdnfdp","11/23/2012","종북세력이란 대한민국의 국가정통성과 자유민주주의를 부정하고 북한의 주체사회주의 노선을 맹목적으로 신봉, 추종하는 세력을 말합니다."
"2799",2799,"tjdnfdp","11/23/2012","종북세력이 궁극적으로 추구하는 것은 '전 한반도의 주체사상화'라는 북한의 대남혁명전략과 일치합니다."
"2800",2800,"tjdnfdp","11/23/2012","제주해군기지는 반드시 건설되어야만한다. 요즘 종북좌파세력들에게 휘둘리는 모습을 보면 가슴이 아프다. 흔들리지말자 대한민국 반대를위한 반대는 이제 지겹다!!"
"2801",2801,"tjdnfdp","11/23/2012","종북좌파세력이 되는 것은 매우간단하다. 대한민국이 망하기만을 바라면 된다 환경과 평화라는 메시지를 들고,,, 제주해군기지 반드시 건설해야한다"
"2802",2802,"tjdnfdp","11/23/2012","북한은 자기들이 할 일은 하지 않고 우리와 미국을 비방하면서 협박하고 있다. 그런데도 종북세력이 지원을 해주자고 정부에 요구하는 건 인도적 가면을 쓴 조공과 같은 생각입니다."
"2803",2803,"tjdnfdp","11/23/2012","국내 종북세력의 사상적 토대는 북한의 주체사상(김일성의 혁명사상)과 선군사상(김정일의 혁명사상)이다."
"2804",2804,"tjdnfdp","11/23/2012","민노총, 전교조 등 종북좌익세력들이 추구하는 국가발전 방향이 무엇인지 궁금하다. 그들에게 민주주의와 자본주의는 타도해야 할 대상일 뿐이다"
"2805",2805,"tjdnfdp","11/23/2012","종북좌파는 국민주권을 내세워 국민 각자가 정부를 무너뜨릴 수 있는 권리를 가지고 있고 또 그렇게 하는 것이 헌법에 규정된 권리인양 당연한 것처럼 국민을 선동하고 있습니다."
"2806",2806,"tjdnfdp","11/23/2012","학생들을 가르치는 데에는 무능하면서 한국사회를 좌경화시키는 데에 혈안이 된 종북좌익교육자들의 모습을 보면 우리나라도 베트남처럼 공산화되는 것은 아닌가 걱정하지 않을 수 없습니다"
"2807",2807,"tjdnfdp","11/23/2012","종북좌익세력은 어디서 자금이 나오는지 수많은 연구소나 시민단체를 만들어 조직적으로 반정부운동을 전개하고 있습니다. 이들이 노리는 것은 대한민국의 붕괴와 친북공산정권을 수립하는 것입니다"
"2808",2808,"tjdnfdp","11/23/2012","북한정권이 자주적이며 긍정적으로 평가해야 한다고 우기는 종북세력을 관용해 서는 안됩니다."
"2809",2809,"tjdnfdp","11/23/2012","민주를 팔아 반역을 하고, 환경을 팔아 국책사업을 훼방하고, 평화를 팔아 적 화통일을 기도하고, 인권을 팔아 반역자를 민주투사로 둔갑시키고, 민족을 팔아 북한에 굴종하는 종북좌익세력의 위선은 이제 종식될 때가 되었습니다."
"2810",2810,"tjdnfdp","11/23/2012","종북세력들은 천안함 폭침이 명백히 북한 소행임이 드러났음에도 우리정부가 사건을 조작,은폐했다는 흑색선전 펼쳤으며, 국가안보 강화를 위한 군사훈련조차 중단하라는 주장도 서슴지 않았습니다."
"2811",2811,"tjdnfdp","11/23/2012","종북좌익세력이 득세를 하면, 대한민국은 북한사회처럼 진실과 자유가 소멸되 어 망해갈 것입니다"
"2812",2812,"tjdnfdp","11/23/2012","종북좌익이념은 거짓과 파산의 이념입니다. 좌익세력이 파고든 기업이나 국가 는 반드시 망하게 되어있습니다."
"2813",2813,"tjdnfdp","11/23/2012","종북주의자들이 궁극적으로 추구하는 목표는 북한식사회주의에 의한 남북통일 입니다."
"2814",2814,"zmfpfm","11/23/2012","자원이 빈곤하여 수출로 먹고 사는 우리나라로서는 한-미FTA와 EU와의 자유무역헙정은 총성 없는 경제전쟁의 승리이며 안보 면에서도 돈으로 환산할 수 없는 천문학적인 효과를 거두었죠. 아무리 정부정책을 반대가 본업인 세력들도 부정할수 없는 사실이죠."
"2815",2815,"zmfpfm","11/23/2012","제주해군기지가 건설되고있는 강정마을 회장이 ""김총리의 고의또는 과실에 의한 공사추진결정으로 정신적고통을 입었다""며 국무총리를 상대로 위자료1원을 청구하는 손해배상 소송을 제기했다네요. 기지건설을 반대하는 세력의 선동에 의해 움직이는거 같아 안타깝네요."
"2816",2816,"tjdnfdp","11/24/2012","우리나라에서 좌파세력 즉 공산주의세력이 태동된 것은 1920년대 무렵. 러시아혁명의 영향을 받은 연해주, 시베리아의 한인들과 일본 유학생들이 마르크스주의를 학습하고 이를 국내에 유포하면서 좌파세력이 싹트기 시작했습니다"
"2817",2817,"humordelivery89","11/24/2012","NLL 방어전력 대폭 증강. 확고한 정비태세로 우리는 적의 추가 도발시 도발 원점은 물론 지휘부까지 초토화시킬 준비가 되어 있습니다.."
"2818",2818,"ilzaali","11/24/2012","김정은은 집권 후 ‘대남명령 1호’에서 ‘진보세력의 대단합을 이룩해 올해 총선과 대선에서 역적패당에 결정적 패배를 안겨야 한다’고 했답니다 그럴 시간에 인민들 굶기지 않을 걱정이나 하시지..."
"2819",2819,"jogisic","11/24/2012","말을 막하기로 유명한 노무현이 한 말중  잊을 수 없는 것이 ""대한민국은 기회주의가 득세한 나라"" ""태어나지 말았어야 하는 나라""라고 한 말이다.  나는 그말을 듣고 그가 진짜  대한민국의 대통령이 맞는지 의심했다."
"2820",2820,"jogisic","11/24/2012","종북좌파들을 척결하려면 정부당국에서 일하는 분들이 이들의 실체를 정확하게 알고 올바른 좌익관을 가져야 하며 관련법을 재정비하여 이적세력들이 발붙이지 못하도록 해야하다"
"2821",2821,"jogisic","11/24/2012","민족정기를 망각한 채 대한민국을 공격하기 위해 허구적 논리를 개발하고 있는 북한 선전담당원의 대변인 같은 태도를 취하고 있는 노동자 선생들(전교조)에 대해 이제 우리 모두가 경계심을 가져야 할 때입니다."
"2822",2822,"jogisic","11/24/2012","전교조와 종북좌익들의 국론분열 획책과 사회혼란 야기에 대응하기 위해서는 학교에서 윤리교육을 강화하고 언론등을 통한 좌익실체에 대한 대국민홍보를 더욱 강화하여야 합니다"
"2823",2823,"jogisic","11/24/2012","우리사히 내부에는 아직도 북한의 지령에 따라 움직이는 세력들이 있습니다. 범민련남측본부나 평통사, 실천연대 같은 단체들이 바로 그런세력인데 이적세력 판결을 받고도 버젓이 활동하고 있는데 정말 문제입니다"
"2824",2824,"jogisic","11/24/2012","각종 시위와 유언비어 유포 등 사회론란을 부추기고 북한에 대한 맹목적 옹호에 앞장서고 있는 좌파세력이 자신이 직간접적으로 북한의 조정을 받고 있습니다. 따라서 국내 좌파세력들을 배후조종하고 있는 북한의 대남공작을 차단시키는 것이 중요합니다"
"2825",2825,"jogisic","11/24/2012","대학가에 좌파 교수가 많은 이유는 지난 80년대부터 한총련을 중심으로 한 주사파 학생들이 좌파교수는 떠받들고 우파 건전 교수들을 집요하게 공격해 집단 이지메를 해왔기 때문입니다. 이런 대학가의 잘못된 문화부터 바뀌여야 합니다"
"2826",2826,"jogisic","11/24/2012","80~90년 대학가에 주사파의 의식화교육의 폐해가 이렇게 무서운줄 요즘 새삼 느낌니다. 전에 노무현대통령이 대한민국을 폄하하는 발언을 하는 걸 보고 너무 놀랐지만 최근 김광진 의원의 ""매국노 발언"" 발언에서 그 독성을 다시한번 확인"
"2827",2827,"jogisic","11/24/2012","이런 측면에서 봤을 때 최근 북한이 오란다고 북경이고 어디고 가서 북한 종교인을 가장하고 나온 통전부 요원들을 만나고 온 우리 종교계인사들은 반성해야 합니다. 대선에 임박해서 만나자고 한 이유는 너무 뻔한데 말입니다"
"2828",2828,"jogisic","11/24/2012","북한이 우리 대선개입을 위해 TF팀을 조직하고, 400명의 보위부요원을 중국 瀋陽에 파견해 광범위한 대선개입 공작활동을 전개하고 있다고 조명철 새누리당 의원이  주장했다고 합니다. 사실이라면 큰일이네요. 인터넷공간에서 장난칠게 뻔한데....."
"2829",2829,"kiminhye0","11/24/2012","좌파 정권에서 북한에 지원해준 70억 달러의 돈은 북한주민에게 들어가기는커녕 , 김정일 일가와 한줌 집권세력의 호화사치와 배를 불리는데 쓰였다"
"2830",2830,"kiminhye0","11/24/2012","햇볕이라는 당근은 결국 북한 김정일 체제유지를 더 확고하게 만든 정권연장 수단에 악용되었을 뿐 우리에게 평화를 가져다 주지 못했다. 더 이상은 좌파정권때처럼 북한 의도에 끌려다녀서는 안된다"
"2831",2831,"kiminhye0","11/24/2012","평통사를 비롯하여 민노당에 침투한 친북세력과 민노총과 전교조, 한총련과 범민련, '진보연대'등은 북한의 지령에 의해 대한민국을 파괴해 온 반역세력이다"
"2832",2832,"kiminhye0","11/24/2012","북한의 무력도발을 막는 최선의 방법은 여론주도층이 국가안보에 대한 경각심을 심고, 남남갈등을 일으키는 친북좌파들에 대한 경계를 늦추지 않으면서 이들이 우리사회에 발을 붙이지 못하도록 경계하는 것이다"
"2833",2833,"kiminhye0","11/24/2012","친북종북 세력들은 정부의 대북정책을 비난하기 앞서 북한 핵무장에 대해 국민 들의 눈과 귀를 막고 북한의 핵개발을 도운 책임에 대해 국민 앞에 사죄해야 함이 마땅하다"
"2834",2834,"kiminhye0","11/24/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"2835",2835,"shore0987","11/24/2012","종북이들은 아직도 천안함에 미련이 많은 모양입니다, 천안함을 재조사하자고 얘기 했다는데, 선행조건을 달고 재조사 합시다, 천안함을 재조사해서 북한의 소행이 다시 밝혀지면 종북이들 몽땅 월북해서 안내려온다는 각서 받고 재조사 합시다"
